y1,x1,K,midpoint_offset,dt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
36.00,2020,-14.00,27,50,35.850000,35.900000,32.421321,29.963388,26.134109,20.689414,13.875038,6.587467,-0.005443,-5.126204,-8.652294,-10.883687,-12.221179,-12.996940,-13.438333,-13.686737,-13.825669,-13.903106
36.00,2020,-14.50,26,50,35.850000,35.900000,31.981440,29.253268,25.068316,19.251061,12.182284,4.871416,-1.531585,-6.372517,-9.640970,-11.682623,-12.896623,-13.597436,-13.995104,-14.218556,-14.343425,-14.412989
36.00,2020,-15.00,25,50,35.850000,35.900000,31.490760,28.470750,23.915474,17.734295,10.450000,3.165705,-3.015474,-7.570750,-10.590760,-12.455000,-13.555523,-14.188142,-14.546243,-14.747187,-14.859392,-14.921875
36.00,2020,-15.50,24,50,35.850000,35.900000,30.944561,27.611257,22.674275,16.144230,8.688305,1.479275,-4.453402,-8.721388,-11.503690,-13.202781,-14.199300,-14.769962,-15.092293,-15.272944,-15.373748,-15.429861
36.00,2020,-16.00,23,50,35.850000,35.900000,30.337958,26.670540,21.344539,14.487384,6.907726,-0.179771,-5.842690,-9.825447,-12.381895,-13.927863,-14.829277,-15.343726,-15.633743,-15.796108,-15.886653,-15.937038
36.00,2020,-16.50,22,50,35.850000,35.900000,29.665962,25.644835,19.927360,12.771583,5.118903,-1.804313,-7.181625,-10.884373,-13.227559,-14.632060,-15.446686,-15.910193,-16.171042,-16.316935,-16.398251,-16.443486
36.00,2020,-17.00,21,50,35.850000,35.900000,28.923569,24.531030,18.425221,11.005810,3.332300,-3.388310,-8.469368,-11.899947,-14.042872,-15.317091,-16.052666,-16.470059,-16.704595,-16.835658,-16.908673,-16.949280
36.00,2020,-17.50,20,50,35.850000,35.900000,28.105856,23.326843,16.842069,9.200000,1.557931,-4.926843,-9.705856,-12.874196,-14.830000,-15.984577,-16.648267,-17.023957,-17.234770,-17.352486,-17.418037,-17.454484
36.00,2020,-18.00,19,50,35.850000,35.900000,27.208108,22.031000,15.183346,7.364779,-0.194885,-6.416116,-10.891689,-13.809317,-15.591049,-16.636036,-17.234454,-17.572462,-17.761900,-17.867608,-17.926449,-17.959159
36.00,2025,0.00,55,50,35.850000,35.900000,35.950000,35.850691,35.771442,35.629518,35.376596,34.929785,34.152500,32.835812,30.702819,27.485487,23.119801,17.975000,12.830199,8.464513,5.247181,3.114188
36.00,2025,-0.50,54,50,35.850000,35.900000,35.950000,35.836763,35.746456,35.584852,35.297253,34.790415,33.912433,32.435880,30.072088,26.571057,21.940315,16.652991,11.540751,7.333629,4.307012,2.333959
36.00,2025,-1.00,53,50,35.850000,35.900000,35.950000,35.820911,35.718035,35.534096,35.207253,34.632817,33.642429,31.990126,29.379123,25.587297,20.705373,15.309065,10.263150,6.231457,3.395949,1.575895
36.00,2025,-1.50,52,50,35.850000,35.900000,35.950000,35.802875,35.685716,35.476446,35.105230,34.454788,33.339248,31.494566,28.620689,24.534440,19.420244,13.950915,9.002929,5.159793,2.513458,0.838796
36.00,2025,-2.00,51,50,35.850000,35.900000,35.950000,35.782358,35.648979,35.410993,34.989658,34.253902,32.999417,30.945169,27.794000,23.413745,18.091125,12.586215,7.764908,4.119801,1.658734,0.121418
36.00,2025,-2.50,50,50,35.850000,35.900000,35.950000,35.759025,35.607231,35.336721,34.858838,34.027500,32.619248,30.337924,26.896856,22.227576,16.725000,11.222424,6.553144,3.112076,0.830752,-0.577500
36.00,2025,-3.00,49,50,35.850000,35.900000,35.950000,35.732495,35.559807,35.252483,34.710882,33.772682,32.194857,29.668939,25.927782,20.979431,15.329465,9.866591,5.370915,2.136711,0.028332,-1.259209
36.00,2025,-3.50,48,50,35.850000,35.900000,35.950000,35.702340,35.505957,35.157000,34.543698,33.486301,31.722205,28.934544,24.886167,19.673936,13.912520,8.525203,4.220730,1.193374,-0.749822,-1.924937
36.00,2025,-4.00,47,50,35.850000,35.900000,35.950000,35.668074,35.444833,35.048837,34.354974,33.164966,31.197141,28.131416,23.772386,18.316789,12.482351,7.204059,3.104372,0.281379,-1.505076,-2.575874
36.00,2025,-4.50,46,50,35.850000,35.900000,35.950000,35.629149,35.375486,34.926395,34.142169,32.805044,30.615470,27.256714,22.587905,16.914651,11.047099,5.908183,2.022950,-0.600243,-2.238832,-3.213163
36.00,2025,-5.00,45,50,35.850000,35.900000,35.950000,35.584944,35.296845,34.787892,33.902500,32.402684,29.973030,26.308225,21.335351,15.475000,9.614649,4.641775,0.976970,-1.452684,-2.952500,-3.837892
36.00,2025,-5.50,44,50,35.850000,35.900000,35.950000,35.534763,35.207713,34.631350,33.632931,31.953834,29.265790,25.284508,20.018547,14.005939,8.192431,3.408200,-0.033590,-2.277295,-3.647476,-4.451089
36.00,2025,-6.00,43,50,35.850000,35.900000,35.950000,35.477817,35.106746,34.454578,33.330173,31.454284,28.489965,24.185037,18.642500,12.515975,6.787256,2.210003,-1.009201,-3.075540,-4.325123,-5.053722
36.00,2025,-6.50,42,50,35.850000,35.900000,35.950000,35.413221,34.992444,34.255160,32.990683,30.899715,27.642142,23.010333,17.213334,11.013787,5.405189,1.048951,-1.950699,-3.848948,-4.986755,-5.646695
36.00,2025,-7.00,41,50,35.850000,35.900000,35.950000,35.339978,34.863131,34.030437,32.610671,30.285771,26.719428,21.762065,15.738177,9.507983,4.051457,-0.073901,-2.859220,-4.599081,-5.633630,-6.230851
36.00,2025,-7.50,40,50,35.850000,35.900000,35.950000,35.256970,34.716945,33.777500,32.186120,29.608135,25.719594,20.443126,14.225000,8.006874,2.730406,-1.158135,-3.736120,-5.327500,-6.266945,-6.806970
36.00,2025,-8.00,39,50,35.850000,35.900000,35.950000,35.162943,34.551817,33.493180,31.712811,28.862641,24.641233,19.057664,12.682413,6.518271,1.445486,-2.203891,-4.582922,-6.035744,-6.887825,-7.375775
36.00,2025,-8.50,38,50,35.850000,35.900000,35.950000,35.056493,34.365459,33.174045,31.186363,28.045386,23.483907,17.611064,11.119430,5.049310,0.199276,-3.211775,-5.401257,-6.725309,-7.497329,-7.937931
36.00,2025,-9.00,37,50,35.850000,35.900000,35.950000,34.936050,34.155346,32.816401,30.602290,27.152869,22.248280,16.109879,9.545223,3.606319,-1.006470,-4.182778,-6.192820,-7.397635,-8.096442,-8.494049
36.00,2025,-9.50,36,50,35.850000,35.900000,35.950000,34.799867,33.918704,32.416298,29.956072,26.182142,20.936225,14.561703,7.968867,2.194732,-2.170752,-5.118197,-6.959330,-8.054098,-8.686081,-9.044692
36.00,2025,-10.00,35,50,35.850000,35.900000,35.950000,34.645998,33.652500,31.969556,29.243241,25.130963,19.550901,12.975000,6.399099,0.819037,-3.293241,-6.019556,-7.702500,-8.695998,-9.267095,-9.590371
36.00,2025,-10.50,34,50,35.850000,35.900000,35.950000,34.472285,33.353430,31.471787,28.459492,23.997958,18.096780,11.358887,4.844112,-0.517228,-4.374192,-6.888549,-8.424011,-9.324562,-9.840267,-10.131556
36.00,2025,-11.00,33,50,35.850000,35.900000,35.950000,34.276340,33.017918,30.918441,27.600807,22.782777,16.579628,9.722885,3.311363,-1.811451,-5.414350,-7.726975,-9.125495,-9.940936,-10.406318,-10.668675
36.00,2025,-11.50,32,50,35.850000,35.900000,35.950000,34.055532,32.642118,30.304864,26.663596,21.486226,15.006424,8.076660,1.807449,-3.061891,-6.414857,-8.536692,-9.808516,-10.546188,-10.965910,-11.202117
36.00,2025,-12.00,31,50,35.850000,35.900000,35.950000,33.806972,32.221925,29.626373,25.644856,20.110384,13.385229,6.429750,0.338006,-4.267603,-7.377173,-9.319579,-10.474565,-11.141311,-11.519647,-11.732237
36.00,2025,-12.50,30,50,35.850000,35.900000,35.950000,33.527500,31.752992,28.878347,24.542332,18.658675,11.725000,4.791325,-1.092332,-5.428347,-8.302992,-10.077500,-11.125051,-11.727220,-12.068084,-12.259356
36.00,2025,-13.00,29,50,35.850000,35.900000,35.950000,33.213679,31.230764,28.056343,23.354684,17.135896,10.035361,3.169952,-2.479942,-6.544493,-9.194176,-10.812279,-11.761298,-12.304760,-12.611726,-12.783766
36.00,2025,-13.50,28,50,35.850000,35.900000,35.950000,32.861790,30.650520,27.156228,22.081647,15.548191,8.326340,1.573417,-3.822178,-7.616924,-10.052692,-11.525681,-12.384543,-12.874706,-13.151033,-13.305733
36.00,2025,-14.00,27,50,35.850000,35.900000,35.950000,32.467836,30.007439,26.174323,20.724173,13.902969,6.608096,0.008579,-5.117312,-8.646936,-10.880564,-12.219397,-12.995935,-13.437770,-13.686423,-13.825495
36.00,2025,-14.50,26,50,35.850000,35.900000,35.950000,32.027552,29.296674,25.107570,19.284544,12.208755,4.890634,-1.518719,-6.364454,-9.636150,-11.679828,-12.895033,-13.596541,-13.994603,-14.218277,-14.343270
36.00,2025,-15.00,25,50,35.850000,35.900000,35.950000,31.536428,28.513452,23.953701,17.766450,10.475000,3.183550,-3.003701,-7.563452,-10.586428,-12.452500,-13.554105,-14.187345,-14.545798,-14.746939,-14.859254
36.00,2025,-15.50,24,50,35.850000,35.900000,35.950000,30.989741,27.653194,22.711409,16.175012,8.711835,1.495792,-4.442656,-8.714794,-11.499803,-13.200547,-14.198035,-14.769252,-15.091896,-15.272723,-15.373625
36.00,2025,-16.00,23,50,35.850000,35.900000,35.950000,30.382599,26.711649,21.380517,14.516755,6.929795,-0.164530,-5.832905,-9.819499,-12.378410,-13.925867,-14.828149,-15.343093,-15.633390,-15.795911,-15.886544
36.00,2025,-16.50,22,50,35.850000,35.900000,35.950000,29.710014,25.685050,19.962119,12.799514,5.139532,-1.790291,-7.172733,-10.879015,-13.224436,-14.630277,-15.445681,-15.909630,-16.170728,-16.316761,-16.398154
36.00,2025,-17.00,21,50,35.850000,35.900000,35.950000,28.966975,24.570284,18.458704,11.032281,3.351518,-3.375444,-8.461305,-11.895127,-14.040077,-15.315500,-16.051771,-16.469558,-16.704316,-16.835503,-16.908587
36.00,2025,-17.50,20,50,35.850000,35.900000,35.950000,28.148558,23.365070,16.874225,9.225000,1.575775,-4.915070,-9.698558,-12.869865,-14.827500,-15.983158,-16.647470,-17.023511,-17.234522,-17.352348,-17.417961
36.00,2025,-18.00,19,50,35.850000,35.900000,35.950000,27.250045,22.068135,15.214129,7.388309,-0.178368,-6.405370,-10.885095,-13.805430,-15.588814,-16.634771,-17.233744,-17.572066,-17.761679,-17.867485,-17.926381
36.00,2025,-18.50,18,50,35.850000,35.900000,35.950000,26.267070,20.679387,13.485319,5.533250,-1.902477,-7.843631,-12.022073,-14.704127,-16.326053,-17.271756,-17.811481,-18.115748,-18.286090,-18.381084,-18.433944
36.00,2025,-19.00,17,50,35.850000,35.900000,35.950000,25.195777,19.200066,11.696058,3.670968,-3.589161,-9.228154,-13.111094,-15.568308,-17.041158,-17.895428,-18.381491,-18.655034,-18.808027,-18.893300,-18.940736
36.00,2025,-19.50,16,50,35.850000,35.900000,35.950000,24.032998,17.632864,9.855807,1.812402,-5.232170,-10.558156,-14.154103,-16.400327,-17.735967,-18.507001,-18.944514,-19.190356,-19.327737,-19.404271,-19.446835
36.00,2030,0.00,55,50,35.850000,35.900000,35.950000,36.000000,35.900552,35.821193,35.679072,35.425798,34.978366,34.200000,32.881480,30.745521,27.523714,23.151957,18.000000,12.848043,8.476286,5.254479
